Markdown,Unicode,
:parking:,U+1F6C4,
:baggage_claim:,U+1F6B0,
:potable_water:,U+3297,
:congratulations:,U+1F6C5,
:left_luggage:,U+1F191,
:cl:,U+1F6AB,
:no_entry_sign:,U+1F6AF,
:do_not_litter:,U+1F6B7,
:no_pedestrians:,U+2733,
:eight_spoked_asterisk:,U+1F19A,
:vs:,U+1F4B9,
:chart:,U+2649,
:taurus:,U+264C,
:leo:,U+264F,
:scorpius:,U+2652,
:aquarius:,U+1F52F,
:six_pointed_star:,U+1F171,
:b:,U+1F4A0,
:diamond_shape_with_a_dot_inside:,U+1F51B,
:on:,U+1F55C,
:clock130:,U+1F55A,
:clock11:,U+1F567,
:clock1230:,U+1F552,
:clock3:,U+1F55F,
:clock430:,U+1F555,
:clock6:,U+1F562,
:clock730:,U+1F558,
:clock9:,U+00A9,
:copyright:,U+274C,
:x:,U+2049,
:interrobang:,U+2795,
:heavy_plus_sign:,U+1F4AE,
:white_flower:,U+2611,
:ballot_box_with_check:,U+27B0,
:curly_loop:,U+1F531,
:trident:,U+2705,
:white_check_mark:,U+26AB,
:black_circle:,U+1F535,
:large_blue_circle:,U+1F539,
:small_blue_diamond:,U+1F53B,
:small_red_triangle_down:,U+1F604,
:smile:,U+1F603,
:smiley:,U+1F60D,
:heart_eyes:,U+1F633,
:flushed:,U+1F601,
:grin:,U+1F61D,
:stuck_out_tongue_closed_eyes:,U+1F619,
:kissing_smiling_eyes:,U+1F61F,
:worried:,U+1F62E,
:open_mouth:,U+1F62F,
:hushed:,U+1F605,
:sweat_smile:,U+1F629,
:weary:,U+1F616,
:confounded:,U+1F623,
:persevere:,U+1F602,
:joy:,#N/A,
:neckbeard:,U+1F621,
:rage:,U+1F60B,
:yum:,U+1F635,
:dizzy_face:,U+1F610,
:neutral_face:,U+1F47D,
:alien:,U+1F49C,
:purple_heart:,U+1F494,
:broken_heart:,U+1F495,
:two_hearts:,U+1F496,
:sparkling_heart:,U+1F31F,
:star2:,U+1F4A5,
:collision:,U+2753,
:question:,U+1F4A4,
:zzz:,U+1F3B6,
:notes:,U+1F4A9,
:hankey:,U+1F44D,
:+1:,U+1F44E,
:thumbsdown:,U+1F44A,
:facepunch:,U+1F44B,
:wave:,U+1F450,
:open_hands:,U+1F448,
:point_left:,U+1F64F,
:pray:,U+1F4AA,
:muscle:,U+1F6B6,
:walking:,U+1F46B,
:couple:,U+1F46D,
:two_women_holding_hands:,U+1F646 U+200D U+2640 U+FE0F,
:ok_woman:,U+1F64B,
:raising_hand:,#N/A,
:person_frowning:,U+1F491,
:couple_with_heart:,U+1F485,
:nail_care:,U+1F469,
:woman:,U+1F475,
:older_woman:,U+1F472,
:man_with_gua_pi_mao:,U+1F46E,
:cop:,U+1F63A,
